execution_order,file_path,line_no,indent,diff,code
0,[...]/django/django/db/models/manager.py,184,0,,"=> __get__(self=<django.db.models.manager.ManagerDescriptor object at 0x107354690>, instance=None, cls=<django.db.models.base.ModelBase object at 0x1070929d0>)"
3,[...]/django/django/db/models/manager.py,195,3,0.0,   if cls._meta.swapped:
4,[...]/django/django/db/models/options.py,404,3,0.0,   => swapped(self=<django.db.models.options.Options object at 0x107275390>)
6,[...]/django/django/db/models/options.py,430,6,0.0,      return None
7,[...]/django/django/db/models/options.py,430,3,-3.0,   <= swapped: None
8,[...]/django/django/db/models/manager.py,204,3,0.0,   return cls._meta.managers_map[self.manager.name]
9,[...]/django/django/db/models/manager.py,204,0,-3.0,<= __get__: <django.db.models.manager.Manager object at 0x1073fb650>
10,[...]/django/django/db/models/manager.py,157,0,0.0,=> all(self=<django.db.models.manager.Manager object at 0x1073fb650>)
11,[...]/django/django/db/models/manager.py,164,3,3.0,   return self.get_queryset()
12,[...]/django/django/db/models/manager.py,150,3,0.0,   => get_queryset(self=<django.db.models.manager.Manager object at 0x1073fb650>)
13,[...]/django/django/db/models/manager.py,155,6,3.0,"      return self._queryset_class(model=self.model, using=self._db, hints=self._hints)"
14,[...]rn/django/django/db/models/query.py,294,6,0.0,"      => __init__(self=<django.db.models.query.QuerySet object at 0x107c7a350>, model=<django.db.models.base.ModelBase object at 0x1070929d0>, query=None, using=None, hints={})"
15,[...]rn/django/django/db/models/query.py,295,9,3.0,         self.model = model
16,[...]rn/django/django/db/models/query.py,296,9,0.0,         self._db = using
17,[...]rn/django/django/db/models/query.py,297,9,0.0,         self._hints = hints or {}
18,[...]rn/django/django/db/models/query.py,298,9,0.0,         self._query = query or sql.Query(self.model)
19,[...]jango/django/db/models/sql/query.py,279,9,0.0,"         => __init__(self=<django.db.models.sql.query.Query object at 0x10766d8d0>, model=<django.db.models.base.ModelBase object at 0x1070929d0>, alias_cols=True)"
20,[...]jango/django/db/models/sql/query.py,280,12,3.0,            self.model = model
21,[...]jango/django/db/models/sql/query.py,281,12,0.0,            self.alias_refcount = {}
22,[...]jango/django/db/models/sql/query.py,287,12,0.0,            self.alias_map = {}
23,[...]jango/django/db/models/sql/query.py,289,12,0.0,            self.alias_cols = alias_cols
24,[...]jango/django/db/models/sql/query.py,294,12,0.0,            self.external_aliases = {}
25,[...]jango/django/db/models/sql/query.py,295,12,0.0,            self.table_map = {}  # Maps table names to list of aliases.
26,[...]jango/django/db/models/sql/query.py,296,12,0.0,            self.used_aliases = set()
27,[...]jango/django/db/models/sql/query.py,298,12,0.0,            self.where = WhereNode()
28,[...]s/Learn/django/django/utils/tree.py,22,12,0.0,"            => __init__(self=<django.db.models.sql.where.WhereNode object at 0x107d1e910>, children=None, connector=None, negated=False)"
29,[...]s/Learn/django/django/utils/tree.py,24,15,3.0,               self.children = children[:] if children else []
30,[...]s/Learn/django/django/utils/tree.py,25,15,0.0,               self.connector = connector or self.default
31,[...]s/Learn/django/django/utils/tree.py,26,15,0.0,               self.negated = negated
32,[...]s/Learn/django/django/utils/tree.py,26,12,-3.0,            <= __init__: None
33,[...]jango/django/db/models/sql/query.py,300,12,0.0,            self.annotations = {}
34,[...]jango/django/db/models/sql/query.py,303,12,0.0,"            self.extra = {}  # Maps col_alias -> (col_sql, params)."
35,[...]jango/django/db/models/sql/query.py,305,12,0.0,            self._filtered_relations = {}
36,[...]jango/django/db/models/sql/query.py,305,9,-3.0,         <= __init__: None
37,[...]rn/django/django/db/models/query.py,299,9,0.0,         self._result_cache = None
38,[...]rn/django/django/db/models/query.py,300,9,0.0,         self._sticky_filter = False
39,[...]rn/django/django/db/models/query.py,301,9,0.0,         self._for_write = False
40,[...]rn/django/django/db/models/query.py,302,9,0.0,         self._prefetch_related_lookups = ()
41,[...]rn/django/django/db/models/query.py,303,9,0.0,         self._prefetch_done = False
42,[...]rn/django/django/db/models/query.py,304,9,0.0,         self._known_related_objects = {}  # {rel_field: {pk: rel_obj}}
43,[...]rn/django/django/db/models/query.py,305,9,0.0,         self._iterable_class = ModelIterable
44,[...]rn/django/django/db/models/query.py,306,9,0.0,         self._fields = None
45,[...]rn/django/django/db/models/query.py,307,9,0.0,         self._defer_next_filter = False
46,[...]rn/django/django/db/models/query.py,308,9,0.0,         self._deferred_filter = None
47,[...]rn/django/django/db/models/query.py,308,6,-3.0,      <= __init__: None
48,[...]/django/django/db/models/manager.py,155,3,-3.0,   <= get_queryset: <django.db.models.query.QuerySet object at 0x107c7a350>
49,[...]/django/django/db/models/manager.py,164,0,-3.0,<= all: <django.db.models.query.QuerySet object at 0x107c7a350>
50,[...]rn/django/django/db/models/query.py,415,0,0.0,"=> __getitem__(self=<django.db.models.query.QuerySet object at 0x107c7a350>, k=0)"
52,[...]rn/django/django/db/models/query.py,422,3,0.0,"   if (isinstance(k, int) and k < 0) or ("
53,[...]rn/django/django/db/models/query.py,423,3,0.0,"   isinstance(k, slice)"
54,[...]rn/django/django/db/models/query.py,422,3,0.0,"   if (isinstance(k, int) and k < 0) or ("
57,[...]rn/django/django/db/models/query.py,447,3,0.0,   qs = self._chain()
58,[...]rn/django/django/db/models/query.py,1894,3,0.0,   => _chain(self=<django.db.models.query.QuerySet object at 0x107c7a350>)
59,[...]rn/django/django/db/models/query.py,1899,6,3.0,      obj = self._clone()
60,[...]rn/django/django/db/models/query.py,1905,6,0.0,      => _clone(self=<django.db.models.query.QuerySet object at 0x107c7a350>)
61,[...]rn/django/django/db/models/query.py,1910,9,3.0,         c = self.__class__(
62,[...]rn/django/django/db/models/query.py,1911,9,0.0,"         model=self.model,"
63,[...]rn/django/django/db/models/query.py,1912,9,0.0,"         query=self.query.chain(),"
64,[...]rn/django/django/db/models/query.py,310,9,0.0,         => query(self=<django.db.models.query.QuerySet object at 0x107c7a350>)
66,[...]rn/django/django/db/models/query.py,316,12,0.0,            return self._query
67,[...]rn/django/django/db/models/query.py,316,9,-3.0,         <= query: <django.db.models.sql.query.Query object at 0x10766d8d0>
68,[...]jango/django/db/models/sql/query.py,407,9,0.0,"         => chain(self=<django.db.models.sql.query.Query object at 0x10766d8d0>, klass=None)"
69,[...]jango/django/db/models/sql/query.py,412,12,3.0,            obj = self.clone()
70,[...]jango/django/db/models/sql/query.py,362,12,0.0,            => clone(self=<django.db.models.sql.query.Query object at 0x10766d8d0>)
71,[...]jango/django/db/models/sql/query.py,367,15,3.0,               obj = Empty()
72,[...]jango/django/db/models/sql/query.py,368,15,0.0,               obj.__class__ = self.__class__
73,[...]jango/django/db/models/sql/query.py,370,15,0.0,               obj.__dict__ = self.__dict__.copy()
74,[...]jango/django/db/models/sql/query.py,372,15,0.0,               obj.alias_refcount = self.alias_refcount.copy()
75,[...]jango/django/db/models/sql/query.py,373,15,0.0,               obj.alias_map = self.alias_map.copy()
76,[...]jango/django/db/models/sql/query.py,374,15,0.0,               obj.external_aliases = self.external_aliases.copy()
77,[...]jango/django/db/models/sql/query.py,375,15,0.0,               obj.table_map = self.table_map.copy()
78,[...]jango/django/db/models/sql/query.py,376,15,0.0,               obj.where = self.where.clone()
79,[...]jango/django/db/models/sql/where.py,214,15,0.0,               => clone(self=<django.db.models.sql.where.WhereNode object at 0x107d1e910>)
80,[...]jango/django/db/models/sql/where.py,215,18,3.0,"                  clone = self.create(connector=self.connector, negated=self.negated)"
81,[...]s/Learn/django/django/utils/tree.py,28,18,0.0,"                  => create(cls=<class 'django.db.models.sql.where.WhereNode'>, children=None, connector='AND', negated=False)"
82,[...]s/Learn/django/django/utils/tree.py,36,21,3.0,"                     obj = Node(children, connector or cls.default, negated)"
83,[...]s/Learn/django/django/utils/tree.py,22,21,0.0,"                     => __init__(self=<django.utils.tree.Node object at 0x107d1ecd0>, children=None, connector='AND', negated=False)"
84,[...]s/Learn/django/django/utils/tree.py,24,24,3.0,                        self.children = children[:] if children else []
85,[...]s/Learn/django/django/utils/tree.py,25,24,0.0,                        self.connector = connector or self.default
86,[...]s/Learn/django/django/utils/tree.py,26,24,0.0,                        self.negated = negated
87,[...]s/Learn/django/django/utils/tree.py,26,21,-3.0,                     <= __init__: None
88,[...]s/Learn/django/django/utils/tree.py,37,21,0.0,                     obj.__class__ = cls
89,[...]s/Learn/django/django/utils/tree.py,38,21,0.0,                     return obj
90,[...]s/Learn/django/django/utils/tree.py,38,18,-3.0,                  <= create: <django.db.models.sql.where.WhereNode object at 0x107d1ecd0>
91,[...]jango/django/db/models/sql/where.py,216,18,0.0,                  for child in self.children:
92,[...]jango/django/db/models/sql/where.py,220,18,0.0,                  return clone
93,[...]jango/django/db/models/sql/where.py,220,15,-3.0,               <= clone: <django.db.models.sql.where.WhereNode object at 0x107d1ecd0>
94,[...]jango/django/db/models/sql/query.py,377,15,0.0,               obj.annotations = self.annotations.copy()
97,[...]jango/django/db/models/sql/query.py,389,15,0.0,               obj._annotation_select_cache = None
98,[...]jango/django/db/models/sql/query.py,390,15,0.0,               obj.extra = self.extra.copy()
103,[...]jango/django/db/models/sql/query.py,401,15,0.0,               obj.used_aliases = self.used_aliases.copy()
104,[...]jango/django/db/models/sql/query.py,402,15,0.0,               obj._filtered_relations = self._filtered_relations.copy()
105,[...]jango/django/db/models/sql/query.py,404,15,0.0,"               obj.__dict__.pop(""base_table"", None)"
106,[...]jango/django/db/models/sql/query.py,405,15,0.0,               return obj
107,[...]jango/django/db/models/sql/query.py,405,12,-3.0,            <= clone: <django.db.models.sql.query.Query object at 0x107704590>
109,[...]jango/django/db/models/sql/query.py,415,12,0.0,            if not obj.filter_is_sticky:
110,[...]jango/django/db/models/sql/query.py,416,12,0.0,            obj.used_aliases = set()
111,[...]jango/django/db/models/sql/query.py,417,12,0.0,            obj.filter_is_sticky = False
113,[...]jango/django/db/models/sql/query.py,420,12,0.0,            return obj
114,[...]jango/django/db/models/sql/query.py,420,9,-3.0,         <= chain: <django.db.models.sql.query.Query object at 0x107704590>
115,[...]rn/django/django/db/models/query.py,1913,9,0.0,"         using=self._db,"
116,[...]rn/django/django/db/models/query.py,1914,9,0.0,"         hints=self._hints,"
117,[...]rn/django/django/db/models/query.py,1910,9,0.0,         c = self.__class__(
118,[...]rn/django/django/db/models/query.py,294,9,0.0,"         => __init__(self=<django.db.models.query.QuerySet object at 0x107d1edd0>, model=<django.db.models.base.ModelBase object at 0x1070929d0>, query=<django.db.models.sql.query.Query object at 0x107704590>, using=None, hints={})"
119,[...]rn/django/django/db/models/query.py,295,12,3.0,            self.model = model
120,[...]rn/django/django/db/models/query.py,296,12,0.0,            self._db = using
121,[...]rn/django/django/db/models/query.py,297,12,0.0,            self._hints = hints or {}
122,[...]rn/django/django/db/models/query.py,298,12,0.0,            self._query = query or sql.Query(self.model)
123,[...]rn/django/django/db/models/query.py,299,12,0.0,            self._result_cache = None
124,[...]rn/django/django/db/models/query.py,300,12,0.0,            self._sticky_filter = False
125,[...]rn/django/django/db/models/query.py,301,12,0.0,            self._for_write = False
126,[...]rn/django/django/db/models/query.py,302,12,0.0,            self._prefetch_related_lookups = ()
127,[...]rn/django/django/db/models/query.py,303,12,0.0,            self._prefetch_done = False
128,[...]rn/django/django/db/models/query.py,304,12,0.0,            self._known_related_objects = {}  # {rel_field: {pk: rel_obj}}
129,[...]rn/django/django/db/models/query.py,305,12,0.0,            self._iterable_class = ModelIterable
130,[...]rn/django/django/db/models/query.py,306,12,0.0,            self._fields = None
131,[...]rn/django/django/db/models/query.py,307,12,0.0,            self._defer_next_filter = False
